,forms,javascript,logged_links,href_links,iframes,ip,www,protocol,nof_vowels,nof_consonants,nof_special_sym,nof_digits,nof_alpha,nof_alphanumeric,nof_ques,nof_dollar,nof_percent,nof_at,nof_dash,nof_dots,nof_dir,nof_www,nof_http,nof_eq,dash_in_path,terms_in_url,Labels
119,1,0,0,0,0,0,0,1,16,43,3,0,59,59,1,0,0,0,1,2,5,0,1,1,3,11,0
120,1,0,0,0,0,0,0,1,16,43,3,0,59,59,1,0,0,0,1,2,5,0,1,1,3,11,0
121,1,0,0,0,0,0,0,1,16,43,3,0,59,59,1,0,0,0,1,2,5,0,1,1,3,11,0
122,0,0,0,1,0,0,1,1,10,18,1,0,28,28,0,0,0,0,0,5,3,1,1,0,1,8,0
123,1,0,0,0,0,0,0,1,20,37,1,20,57,77,0,0,0,0,3,1,5,0,1,0,3,9,0
124,1,0,0,1,0,0,0,1,11,25,1,8,36,44,0,0,0,0,2,3,3,0,1,0,1,8,0
125,1,0,0,1,0,0,0,1,13,23,1,8,36,44,0,0,0,0,2,3,3,0,1,0,1,8,0
126,1,0,0,1,0,0,0,1,12,25,1,8,37,45,0,0,0,0,2,3,3,0,1,0,1,8,0
127,1,0,0,1,0,0,0,1,11,24,1,8,35,43,0,0,0,0,2,3,3,0,1,0,1,8,0
128,1,0,0,1,0,0,0,1,13,22,1,8,35,43,0,0,0,0,2,3,3,0,1,0,1,8,0
129,1,0,0,1,0,0,0,1,12,26,1,8,38,46,0,0,0,0,2,4,3,0,1,0,1,9,0
130,1,0,0,1,0,0,0,1,13,22,1,8,35,43,0,0,0,0,2,3,3,0,1,0,1,8,0
131,1,0,0,1,0,0,0,1,10,25,1,8,35,43,0,0,0,0,2,3,3,0,1,0,1,8,0
132,1,0,0,1,0,0,0,1,11,27,1,8,38,46,0,0,0,0,2,4,3,0,1,0,1,9,0
133,0,0,0,0,0,0,0,0,12,39,1,6,52,58,0,0,0,0,0,1,7,0,1,3,5,8,0
