,forms,javascript,logged_links,href_links,iframes,ip,www,protocol,nof_vowels,nof_consonants,nof_special_sym,nof_digits,nof_alpha,nof_alphanumeric,nof_ques,nof_dollar,nof_percent,nof_at,nof_dash,nof_dots,nof_dir,nof_www,nof_http,nof_eq,dash_in_path,terms_in_url,Labels
126,0,0,0,0,0,0,1,1,3,14,1,2,17,19,0,0,0,0,0,2,2,1,1,0,0,4,1
127,3,0,0,150,0,0,1,1,5,12,1,0,17,17,0,0,0,0,0,3,2,1,1,0,0,5,1
128,0,0,0,0,0,0,1,1,3,14,1,0,17,17,0,0,0,0,0,3,2,1,1,0,0,5,1
129,0,0,0,45,0,0,1,1,4,16,1,0,20,20,0,0,0,0,0,2,2,1,1,0,0,4,1
130,1,0,0,606,0,0,1,1,4,10,1,1,14,15,0,0,0,0,0,2,2,1,1,0,0,4,1
131,0,0,1,22,1,0,1,1,4,17,1,0,21,21,0,0,0,0,0,2,2,1,1,0,0,4,1
132,0,0,3,137,3,0,1,1,3,17,1,0,20,20,0,0,0,0,0,2,2,1,1,0,0,4,1
133,2,0,1,253,1,0,1,1,5,17,1,0,22,22,0,0,0,0,0,2,2,1,1,0,0,4,1
134,0,0,0,5,0,0,1,1,2,14,1,0,16,16,0,0,0,0,0,2,2,1,1,0,0,4,1
135,8,0,2,173,13,0,1,1,5,19,1,0,24,24,0,0,0,0,0,2,2,1,1,0,0,4,1
136,1,0,3,37,12,0,1,1,3,13,1,0,16,16,0,0,0,0,0,2,2,1,1,0,0,4,1
137,5,0,0,82,1,0,1,1,4,15,1,0,19,19,0,0,0,0,1,2,2,1,1,0,0,5,1
138,3,0,0,1,0,0,1,1,2,10,1,0,12,12,0,0,0,0,0,2,2,1,1,0,0,4,1
139,0,0,0,42,0,0,1,1,3,16,1,0,19,19,0,0,0,0,0,2,2,1,1,0,0,4,1
140,2,0,1,45,1,0,1,1,5,16,1,0,21,21,0,0,0,0,0,2,2,1,1,0,0,4,1
141,1,0,2,118,5,0,1,1,4,15,1,0,19,19,0,0,0,0,0,3,2,1,1,0,0,5,1
142,0,0,0,0,0,0,1,1,5,18,1,0,23,23,0,0,0,0,1,2,2,1,1,0,0,5,1
143,0,0,0,9,0,0,1,1,2,13,1,0,15,15,0,0,0,0,0,2,2,1,1,0,0,4,1
144,0,0,0,0,0,0,1,1,6,17,1,0,23,23,0,0,0,0,1,3,2,1,1,0,0,6,1
145,4,0,10,365,18,0,1,1,5,21,1,0,26,26,0,0,0,0,0,2,2,1,1,0,0,4,1
146,0,0,0,0,0,0,1,1,3,14,1,0,17,17,0,0,0,0,0,2,2,1,1,0,0,4,1
147,1,0,0,50,0,0,1,1,2,13,1,0,15,15,0,0,0,0,0,2,2,1,1,0,0,4,1
148,3,0,3,191,4,0,1,1,2,16,1,0,18,18,0,0,0,0,0,2,2,1,1,0,0,4,1
149,1,0,1,64,8,0,1,1,4,15,1,0,19,19,0,0,0,0,0,2,2,1,1,0,0,4,1
150,0,0,0,0,0,0,1,1,4,14,1,0,18,18,0,0,0,0,0,3,2,1,1,0,0,5,1
151,2,0,1,163,1,0,1,1,4,12,1,0,16,16,0,0,0,0,0,2,2,1,1,0,0,4,1
